
countInDegree Node Time
countOutDegree 12 9
countOutDegree 6 9
countOutDegree 15 9
countOutDegree 21 9
countOutDegree 6 10
countOutDegree 0 9
countOutDegree 0 9
countOutDegree 18 9
countOutDegree 3 8
countOutDegree 18 6
countOutDegree 24 8
countOutDegree 3 8
countOutDegree 15 7
countOutDegree 3 7
countOutDegree 24 6
countOutDegree 18 9
countOutDegree 18 8
countOutDegree 21 6
countOutDegree 12 7
countOutDegree 6 7
countOutDegree 3 6
countOutDegree 12 9
countOutDegree 0 9
countOutDegree 0 7
countOutDegree 12 7
countOutDegree 27 8
countOutDegree 27 9
countOutDegree 12 9
countOutDegree 24 9
countOutDegree 27 7
countOutDegree 21 8
countOutDegree 27 9
countOutDegree 9 9
countOutDegree 3 8
countOutDegree 12 6
countOutDegree 18 9
countOutDegree 18 10
countOutDegree 27 9
countOutDegree 27 8
countOutDegree 3 10
countOutDegree 24 9
countOutDegree 9 10
countOutDegree 0 8
countOutDegree 18 9
countOutDegree 21 9
countOutDegree 3 9
countOutDegree 9 11
countOutDegree 6 10
countOutDegree 24 16
countOutDegree 24 11
countOutDegree 6 10
countOutDegree 24 10
countOutDegree 3 7
countOutDegree 6 7
countOutDegree 18 9
countOutDegree 12 9
countOutDegree 3 7
countOutDegree 9 9
countOutDegree 24 8
countOutDegree 15 8
countOutDegree 3 9
countOutDegree 18 8
countOutDegree 21 9
countOutDegree 21 8
countOutDegree 3 8
countOutDegree 27 9
countOutDegree 3 9
countOutDegree 12 9
countOutDegree 15 9
countOutDegree 18 9
countOutDegree 6 7
countOutDegree 27 7
countOutDegree 24 9
countOutDegree 15 10
countOutDegree 18 9
countOutDegree 3 7
countOutDegree 18 8
countOutDegree 0 6
countOutDegree 12 6
countOutDegree 9 8
countOutDegree 18 8
countOutDegree 15 9
countOutDegree 3 9
countOutDegree 0 9
countOutDegree 18 9
countOutDegree 12 9
countOutDegree 3 9
countOutDegree 21 9
countOutDegree 12 8
countOutDegree 18 8
countOutDegree 3 6
countOutDegree 6 9
countOutDegree 9 8
countOutDegree 12 10
countOutDegree 27 9
countOutDegree 3 8
countOutDegree 0 7
countOutDegree 0 9
countOutDegree 21 9
countOutDegree 0 9
countOutDegree 18 7
countOutDegree 15 7
countOutDegree 18 5
countOutDegree 3 6
countOutDegree 27 7
countOutDegree 21 7
countOutDegree 9 9
countOutDegree 6 9
countOutDegree 21 7
countOutDegree 6 8
countOutDegree 18 9
countOutDegree 21 10
countOutDegree 27 16
countOutDegree 9 11
countOutDegree 12 24
countOutDegree 6 8
countOutDegree 12 9
countOutDegree 6 8
countOutDegree 12 9
countOutDegree 18 9
countOutDegree 15 9
countOutDegree 3 10
countOutDegree 12 9
countOutDegree 6 9
countOutDegree 0 9
countOutDegree 12 12
countOutDegree 27 8
countOutDegree 21 10
countOutDegree 9 9
countOutDegree 24 9
countOutDegree 0 9
countOutDegree 27 6
countOutDegree 24 7
countOutDegree 9 9
countOutDegree 3 8
countOutDegree 9 7
countOutDegree 0 8
countOutDegree 9 9
countOutDegree 0 10
countOutDegree 15 9
countOutDegree 12 8
countOutDegree 27 8
countOutDegree 12 7
countOutDegree 18 7
countOutDegree 6 9
countOutDegree 21 9
countOutDegree 12 8
countOutDegree 15 8
countOutDegree 6 8
countOutDegree 27 6
