insert Node PortIn PortOut Time
insert 34554 34554_IN 34554_OUT 130
insert 44334 44334_IN 44334_OUT 126
insert 31692 31692_IN 31692_OUT 116
insert 32577 32577_IN 32577_OUT 188
insert 38541 38541_IN 38541_OUT 189
insert 42240 42240_IN 42240_OUT 128
insert 36561 36561_IN 36561_OUT 116
insert 56511 56511_IN 56511_OUT 155
insert 53793 53793_IN 53793_OUT 96
insert 48897 48897_IN 48897_OUT 104
insert 55638 55638_IN 55638_OUT 96
insert 41757 41757_IN 41757_OUT 104
insert 57549 57549_IN 57549_OUT 104
insert 58374 58374_IN 58374_OUT 172
insert 49005 49005_IN 49005_OUT 96
insert 39720 39720_IN 39720_OUT 104
insert 44337 44337_IN 44337_OUT 96
insert 47061 47061_IN 47061_OUT 137
insert 55404 55404_IN 55404_OUT 140
insert 44286 44286_IN 44286_OUT 104
insert 37854 37854_IN 37854_OUT 96
insert 46230 46230_IN 46230_OUT 147
insert 52134 52134_IN 52134_OUT 156
insert 33813 33813_IN 33813_OUT 108
insert 40992 40992_IN 40992_OUT 104
insert 46785 46785_IN 46785_OUT 97
insert 43647 43647_IN 43647_OUT 104
insert 55515 55515_IN 55515_OUT 92
insert 34908 34908_IN 34908_OUT 104
insert 51969 51969_IN 51969_OUT 131
insert 47832 47832_IN 47832_OUT 156
insert 38646 38646_IN 38646_OUT 104
insert 46893 46893_IN 46893_OUT 112
insert 43695 43695_IN 43695_OUT 109
insert 44676 44676_IN 44676_OUT 115
insert 42306 42306_IN 42306_OUT 116
